ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/8/2023,9/9/2023 9:27,15:00,15:15,1.076,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,15:15,15:30,1.144,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,15:30,15:45,1.289,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,15:45,16:00,1.182,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,16:00,16:15,1.353,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,16:15,16:30,0.942,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,16:30,16:45,1.302,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,16:45,17:00,1.031,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,17:00,17:15,1.166,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,17:15,17:30,0.924,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,17:30,17:45,1.202,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,17:45,18:00,0.862,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,18:00,18:15,1.087,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,18:15,18:30,1.023,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,18:30,18:45,1.003,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,18:45,19:00,0.837,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,19:00,19:15,0.92,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,19:15,19:30,1.26,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,19:30,19:45,0.958,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,19:45,20:00,1.108,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,20:00,20:15,1.007,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,20:15,20:30,0.835,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,20:30,20:45,0.878,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,20:45,21:00,0.727,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,21:00,21:15,0.714,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,21:15,21:30,0.802,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,21:30,21:45,0.833,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,21:45,22:00,0.775,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,22:00,22:15,1.02,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,22:15,22:30,1.543,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,22:30,22:45,0.915,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,22:45,23:00,0.729,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,23:00,23:15,1.021,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,23:15,23:30,1.067,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,23:30,23:45,0.962,A,Consumption
